lr-Adam,step,targ_l,epoch,val_l
4.4999999999999996e-05,9,,,
,9,0.38387104868888855,0,
9.5e-05,19,,,
,19,0.2785395085811615,0,
0.000145,29,,,
,29,0.4473121762275696,0,
0.00019500000000000002,39,,,
,39,0.5771050453186035,0,
0.000245,49,,,
,49,0.4243491590023041,0,
0.000295,59,,,
,59,0.28576239943504333,0,
0.000345,69,,,
,69,0.26675188541412354,0,
0.000395,79,,,
,79,0.5832379460334778,0,
0.00044500000000000003,89,,,
,89,0.22998003661632538,0,
0.000495,99,,,
,99,0.31107497215270996,0,
0.0005,109,,,
,109,0.6230126619338989,0,
0.0005,119,,,
,119,0.1806526780128479,0,
0.0005,129,,,
,129,0.1550706923007965,0,
0.0005,139,,,
,139,0.16253697872161865,0,
0.0005,149,,,
,149,0.17873844504356384,0,
0.0005,159,,,
,159,0.11848047375679016,0,
0.0005,169,,,
,169,0.10694973915815353,0,
0.0005,179,,,
,179,0.4564697742462158,0,
0.0005,189,,,
,189,0.42527344822883606,0,
0.0005,199,,,
,199,0.36866655945777893,0,
0.0005,209,,,
,209,0.15693055093288422,0,
0.0005,219,,,
,219,0.4059889614582062,0,
0.0005,229,,,
,229,0.1682824194431305,0,
0.0005,239,,,
,239,0.13937239348888397,0,
0.0005,249,,,
,249,0.21933327615261078,0,
0.0005,259,,,
,259,0.089583620429039,0,
0.0005,269,,,
,269,0.28884199261665344,0,
0.0005,279,,,
,279,0.10407039523124695,0,
0.0005,289,,,
,289,0.0880332961678505,0,
0.0005,299,,,
,299,0.1437523365020752,0,
0.0005,309,,,
,309,0.28575849533081055,0,
0.0005,319,,,
,319,0.28789106011390686,0,
0.0005,329,,,
,329,0.19994211196899414,0,
0.0005,339,,,
,339,0.3504018187522888,0,
0.0005,349,,,
,349,0.08642902970314026,0,
0.0005,359,,,
,359,0.15200288593769073,0,
0.0005,369,,,
,369,0.26903262734413147,1,
0.0005,379,,,
,379,0.16059094667434692,1,
0.0005,389,,,
,389,0.30616915225982666,1,
0.0005,399,,,
,399,0.09043218940496445,1,
0.0005,409,,,
,409,0.18506763875484467,1,
0.0005,419,,,
,419,0.25816434621810913,1,
0.0005,429,,,
,429,0.08981779962778091,1,
0.0005,439,,,
,439,0.1372254490852356,1,
0.0005,449,,,
,449,0.0858282670378685,1,
0.0005,459,,,
,459,0.1406724601984024,1,
0.0005,469,,,
,469,0.257633775472641,1,
0.0005,479,,,
,479,0.18024612963199615,1,
0.0005,489,,,
,489,0.16081242263317108,1,
0.0005,499,,,
,499,0.2896455228328705,1,
0.0005,509,,,
,509,0.2614207863807678,1,
0.0005,519,,,
,519,0.100137859582901,1,
0.0005,529,,,
,529,0.1795417219400406,1,
0.0005,539,,,
,539,0.2059226781129837,1,
0.0005,549,,,
,549,0.3113027811050415,1,
0.0005,559,,,
,559,0.07432570308446884,1,
0.0005,569,,,
,569,0.24064762890338898,1,
0.0005,579,,,
,579,0.16944259405136108,1,
0.0005,589,,,
,589,0.14460724592208862,1,
0.0005,599,,,
,599,0.09827857464551926,1,
0.0005,609,,,
,609,0.07782331109046936,1,
0.0005,619,,,
,619,0.5335866808891296,1,
0.0005,629,,,
,629,0.10134110599756241,1,
0.0005,639,,,
,639,0.21878904104232788,1,
0.0005,649,,,
,649,0.11443507671356201,1,
0.0005,659,,,
,659,0.21926124393939972,1,
0.0005,669,,,
,669,0.08979815244674683,1,
0.0005,679,,,
,679,0.10028836131095886,1,
0.0005,689,,,
,689,0.155828595161438,1,
0.0005,699,,,
,699,0.10949774831533432,1,
0.0005,709,,,
,709,0.28784608840942383,1,
0.0005,719,,,
,719,0.3231796324253082,1,
,719,,1,0.13447469472885132
0.0005,729,,,
,729,0.1863904893398285,2,
0.0005,739,,,
,739,0.5344237685203552,2,
0.0005,749,,,
,749,0.17447316646575928,2,
0.0005,759,,,
,759,0.08728253841400146,2,
0.0005,769,,,
,769,0.10821647197008133,2,
0.0005,779,,,
,779,0.14663644134998322,2,
0.0005,789,,,
,789,0.39897432923316956,2,
0.0005,799,,,
,799,0.16533806920051575,2,
0.0005,809,,,
,809,0.23008616268634796,2,
0.0005,819,,,
,819,0.17593161761760712,2,
0.0005,829,,,
,829,0.34461167454719543,2,
0.0005,839,,,
,839,0.10032162070274353,2,
0.0005,849,,,
,849,0.09203777462244034,2,
0.0005,859,,,
,859,0.08291618525981903,2,
0.0005,869,,,
,869,0.09353429079055786,2,
0.0005,879,,,
,879,0.10039223730564117,2,
0.0005,889,,,
,889,0.253542423248291,2,
0.0005,899,,,
,899,0.28517788648605347,2,
0.0005,909,,,
,909,0.2069399058818817,2,
0.0005,919,,,
,919,0.4514560401439667,2,
0.0005,929,,,
,929,0.16741205751895905,2,
0.0005,939,,,
,939,0.2369495928287506,2,
0.0005,949,,,
,949,0.11515183001756668,2,
0.0005,959,,,
,959,0.10396908223628998,2,
0.0005,969,,,
,969,0.2566808760166168,2,
0.0005,979,,,
,979,0.0881548672914505,2,
0.0005,989,,,
,989,0.17377248406410217,2,
0.0005,999,,,
,999,0.17778344452381134,2,
0.0005,1009,,,
,1009,0.47003692388534546,2,
0.0005,1019,,,
,1019,0.23571553826332092,2,
0.0005,1029,,,
,1029,0.43132317066192627,2,
0.0005,1039,,,
,1039,0.21203187108039856,2,
0.0005,1049,,,
,1049,0.21822872757911682,2,
0.0005,1059,,,
,1059,0.22971650958061218,2,
0.0005,1069,,,
,1069,0.09526143223047256,2,
